Sum of Current % of Portfolio,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,,2001 Total,2002,,,,2002 Total,2003,,,,2003 Total,2004,,,,2004 Total,2005,,,,2005 Total,2006,,,,2006 Total,2007,,,,2007 Total,2008,,,,2008 Total,2009,,,,2009 Total,2010,,,,2010 Total,2011,,,,2011 Total,2012,,,,2012 Total,2013,,,,2013 Total,2014,,,,2014 Total,2015,,,,2015 Total,2016,,,,2016 Total,2017,,,,2017 Total,2018,,,,2018 Total,2019,,,,2019 Total,2020,,2020 Total,Grand Total,,
Row Labels,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,,,ETF,% of Portfolio
Qtr2,6.2684,5.5731,39.7303,0.0843,43.387,1.6734,2.1357,0.9838,0.1638,,,,,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,6.5644,5.8829,35.7709,0.1036,46.8601,1.5058,2.1441,1.0174,0.1509,,,,,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,6.5314,5.9331,36.6667,0.097,47.8566,,1.8195,0.933,0.1626,,,,,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,6.0589,5.5664,41.8007,0.1114,43.6553,,1.8115,0.841,0.1546,,,,,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,5.5061,5.2941,42.6836,0.1243,43.1741,,2.0204,1.0551,0.1423,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,4.217,4.9547,41.813,0.1307,45.4119,,2.381,0.9659,0.1257,,,,,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,3.5874,4.5801,39.675,0.1266,48.4171,,2.1647,1.3233,0.1258,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,3.3622,4.4079,37.428,2.6096,47.786,0.2533,2.5494,1.2649,0.0927,,0.2463,,,100.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
